,user_name,date,text,hashtags,source
56,🌈,2022-03-05 03:39:07,"Residents of Novopskov in eastern Ukraine come out of their homes to confront Russian soldiers occupying their town to tell them what they think:

“War and death follows you wherever you go, get up and leave!” 

Crowd of town residents chanting “Ukraine!”

https://t.co/iGByUwrEKV",,Twitter for iPhone
57,Dawangthang/ダワンタング,2022-03-05 03:39:07,"RT @SkyAndyHughes: Everyone should watch this. Sky News team comes under fire from Russian forces in Kyiv, despite making it clear they’re…",,Twitter for iPhone
58,trashbag,2022-03-05 03:39:07,RT @Anansislibrary: They got rid of everything Russian faster than they got rid of all the confederate statues in this country,,Twitter for iPhone
59,Katherine Elizabeth McLaren,2022-03-05 03:39:07,"RT @Rusembegypt: 📰Interview of the Russian Ambassador to Egypt G.Borisenko for @egygazette on Ukraine.
✅sanctions;
✅NATO threat;
✅🇺🇦 nuclea…",,Twitter Web App
60,Annette,2022-03-05 03:39:07,RT @latimes: A global game of hide-and-seek is happening on the high seas as Russian billionaires hastily attempt to move their boats to sa…,,Twitter for iPhone
61,Citizen of EU,2022-03-05 03:39:07,"RT @CityBureaucrat: The Wagner group is a private military company owned by Russian Jewish billionaire Yevgeny Prigozhin.

This now means t…",,Twitter Web App
62,Akhil Singh,2022-03-05 03:39:07,"RT @squineon: Putin is not a dictator while west is trying to portray him on par with H*tler. So many Russian sportsperson, actors, intelle…",,Twitter Web App
63,Andrew Binkley,2022-03-05 03:39:07,"RT @dontlickchalk: Moscow Mitch and the guy who gets his hair done by a poodle groomer, are so hardcore for ""America First"" that they had t…",,Twitter for iPhone
64,JDub,2022-03-05 03:39:07,RT @W4Wpal: So it's not just Moscow Mitch and Russian Rand Paul in bed with Putin's oligarchy. Florida in bed with Putin too.,,Twitter for iPad
65,⛈️Josephu⛈️,2022-03-05 03:39:07,"RT @ASovietOnion: ngl having grown up half-afghan in the aftermath of 2001, this whole culture war that's currently happening – scrubbing e…",,Twitter for iPhone
66,Raihan Reza,2022-03-05 03:39:06,RT @KyivIndependent: ⚡️Around 74% of Americans - including Republicans and Democrats - said the U.S. and its NATO allies should impose a no…,,Twitter for iPhone
67,Randall Flagg,2022-03-05 03:39:06,"RT @gordoncorera: NEW - Russian commanders have been killed after they felt they had to move closer to the front lines, western officials s…",,Twitter for iPhone
68,BFG,2022-03-05 03:39:06,"Don't like Jimmy Kimmel. Republicanism is as crass as Conservatives.All they spout is rascist,sexism,homophobic, garbage &amp; are basically completely self-absorbed corrupt pathological liars.Boris &amp; Trump the Putin loving Russian owned cheerleaders spreading False News &amp; non action https://t.co/gnmu4s9Nyz",,Twitter for Android
69,Mike Brown,2022-03-05 03:39:06,RT @coachbrucepearl: I grew up believing that POTUS was the leader of the free world. We should be concerned! Why are we giving Iran Billio…,,Twitter for Android
70,John D Pell,2022-03-05 03:39:06,RT @walterlekh: Documents captured from killed Russian CAS SU-25 aircraft pilots indicate that Russian planes enter Ukrainian airspace by d…,,Tweetbot for iΟS
71,KUBO Koichi,2022-03-05 03:39:06,RT @myroslavapetsa: Every captured Russian soldier repeats the same mantra saying he never knew he was actually going into Ukraine. These d…,,Twitter for iPhone
72,Geoffrey P. Johnston🇺🇦🇨🇦,2022-03-05 03:39:06,@finn_harvor Nothing in your timeline that resembles an acknowledgement of the impending mass civilian death that will inevitable result of Russian sieges of Ukrainian population centres.,,Twitter Web App
73,Nim-Ai Sinha,2022-03-05 03:39:06,"@RobertaStaley @nypost Ohhh... it's more than way too much from Putin...every single innocently life is being crushed by Putin's military here!
Every russian soldier is violating extreme human rights and committing wat crimes to represent Putin ! 
STOP WAR BRING PEACE !",,Twitter for Android
74,Ed Pardines,2022-03-05 03:39:06,"RT @BaddCompani: This is really an amazing story and one to Highly pay attention to.

Putin has tried to assassinate Zelensky 3 times

all…",,Twitter for Android
75,kristenl325,2022-03-05 03:39:06,"RT @elonmusk: Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make u…",,Twitter for iPhone
76,Becky,2022-03-05 03:39:06,"RT @KATVNews: In a bitter and emotional speech, Ukraine President Volodymyr Zelenskyy criticized NATO for refusing to impose a no-fly zone…",,Twitter for Android
77,🏴Rewarp🚩,2022-03-05 03:39:06,RT @PopularFront_: #Ukraine: The Ukrainian military has began to release instructional diagrams for territorial defense units on social med…,['Ukraine'],Twitter Web App
78,Paul Marr,2022-03-05 03:39:06,"RT @juliaioffe: A friend, a Russian journalist, just wrote to say he safely crossed into Estonia last night—on foot. With his dog.",,Twitter for iPhone
79,Göktürk Ögeday Han,2022-03-05 03:39:06,RT @mjluxmoore: Looks like the whole of Novopskov in eastern Ukraine has come out to tell the bedraggled Russian soldiers occupying the tow…,,Twitter for Android
80,🚛🚛CryptoFreedom1776🚛🚛,2022-03-05 03:39:06,"RT @elonmusk: Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make u…",,Twitter for iPhone
81,Hackdeepwep,2022-03-05 03:39:06,"RT @OpsAn0n: Communicate: The #Anonymous ATW-linked group managed to breach and leak the database of Gazprom, a majority Russian state-owne…",['Anonymous'],Twitter for Android
82,🌻THEE Stephanie Noel Kirlin³³º¹🛹💛🥁🗽#DemCast,2022-03-05 03:39:06,RT @AVindman: The defeatism is astounding… and consistent. These same conclusions were forecasted 10 days ago. I judge Kyiv will stand. The…,,Twitter for iPhone
83,Scott Neily 🇨🇦,2022-03-05 03:39:06,"RT @DrRadchenko: The Russian Duma has just adopted a new law, promising three years in prison for calls for sanctions against Russia. 

In…",,Twitter for Android
84,Anni H.✏️✨🌈,2022-03-05 03:39:06,don't see this talked about anymore but i remember from news this past year that people in the cities that Putin annexed recently - people were somehow forced to either accept russian nationality/passport or lose citizenship/rights.  have to find any article about this,,Twitter Web App
85,Marcelo Padila #RECHAZO,2022-03-05 03:39:06,RT @AVindman: The defeatism is astounding… and consistent. These same conclusions were forecasted 10 days ago. I judge Kyiv will stand. The…,,Twitter for iPhone
86,Ronald Heine,2022-03-05 03:39:06,RT @LJH___________: Has any Journalist asked Barr about Barr’s Endless List of Corruption? A Russian Laundry list. Trump and Republicans ar…,,Twitter for iPad
87,𝐓𝐞𝐱𝐭𝐨𝐬 𝐌𝐎𝐎𝐍,2022-03-05 03:39:06,@tradergrl @horny_antifa @dntorres00 @BBCWorld but yeah ...the west is corrupt ...basically...or soft ...weak in spirit ...obv i don't think a russian really believes this at their core ..its more like a passing thought ...that hovers sometimes,,Twitter Web App
88,Kevin Hanley 🇺🇦,2022-03-05 03:39:05,@tradergrl @horny_antifa @dntorres00 @BBCWorld but yeah ...the west is corrupt ...basically...or soft ...weak in spirit ...obv i don't think a russian really believes this at their core ..its more like a passing thought ...that hovers sometimes,,Twitter for iPhone
89,LEE Yoonbae,2022-03-05 03:39:05,"RT @elonmusk: Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make u…",,Twitter for Android
90,Владимир,2022-03-05 03:39:05,RT @McFaul: End all imports of Russian oil to the U.S. today. 3/,,Twitter for Android
91,Oksana Banudz,2022-03-05 03:39:05,"@MichaelBennet Tonight the Russian aggressors occupied the largest in Europe Zaporizhzhya nuclear power plant. Remenber Chernobyl? We are fighting and standing to the death to prevent a terrible scenario for the whole world.  Please, close the sky over Ukraine!",,Twitter Web App
92,Monika,2022-03-05 03:39:05,"RT @NBCNews: With Russian President Putin’s army steadily advancing, members of Congress and U.S. national security officials are now discu…",,Twitter for iPhone
93,PROS,2022-03-05 03:39:05,RT @BhadraPunchline: 1/2 BRILLIANT... 130 Russian buses put on duty since 6am today to evacuate Indian students from Ukraine's Kharkiv and…,,Twitter for iPhone
94,sarah soto,2022-03-05 03:39:05,RT @Anansislibrary: They got rid of everything Russian faster than they got rid of all the confederate statues in this country,,Twitter for iPhone
95,John G Mandziuk,2022-03-05 03:39:05,RT @MavkaSlavka: Putin is trucking in more fascists to support his flailing Russian army. Wagner troops from Syria will soon be in Ukraine.…,,Twitter for iPad
96,Daniel,2022-03-05 03:39:05,"RT @GicAriana: “NATO cannot risk a combat op against Russian air defence forces bc Putin will go nuclear” is a pile of horse shit.

“But nu…",,Twitter for Android
97,Abdullah,2022-03-05 03:39:05,"RT @BaigHissam: @ZelenskyyUa Once a comedian, always a comedian. You'd learn it the hard way when Russian jets start razing Kiev, Kharkiv a…",,Twitter for Android
98,⚖️ Stellaa,2022-03-05 03:39:05,"RT @DavidPriess: 25 years ago, this month:

US President Bill Clinton and Russian President Boris Yeltsin, at a summit in Helsinki, agreed…",,Twitter for iPhone
99,Ayanda,2022-03-05 03:39:05,RT @TheInsiderPaper: USD TO RUSSIAN RUBLE - CHART https://t.co/s8BKNR5MLV,,Twitter for Android
